Economy,Measure_Type,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
India,Resolving_Insolvency_DTF,32.75,32.59,32.6,32.43,27.83,29.53,25.91,24.69,24.69,25.91,27.2,27.02,26.46,26.42
India,Enforcing_Contracts_DTF,35.19,32.41,32.41,25.81,25.81,25.81,25.81,25.81,25.81,25.82,25.81,25.81,25.81,25.81
India,Trading_across_Borders_DTF,57.61,56.45,56.45,64.89,66.74,66.33,65.56,65.85,65.06,64.87,53.74,53.23,,
India,Paying_Taxes_DTF,46.58,43.17,56.14,56.04,55.09,54.46,40.32,37.19,34.66,33.12,33.2,39.43,,
India,Protecting_Minority_Investors_DTF,73.33,73.33,73.33,60,60,60,60,56.67,56.67,56.67,56.67,56.67,,
India,Getting_Credit_DTF,65,65,65,68,81.25,81.25,81.25,81.25,81.25,81.25,68.75,37.5,37.5,
India,Registering_Property_DTF,50,49.97,49.96,58.92,60.13,59.96,59.57,59.47,59.33,56.18,55.93,55.71,44.38,
India,Getting_Electricity_DTF,85.09,79.76,66.28,63.11,70.67,70.8,70.04,69.61,,,,,,
India,Dealing_with_Construction_Permits_DTF,32.83,32.83,32.83,18.29,20.08,17.1,17.1,17.1,17.1,17.1,17.1,17.1,,
India,Starting_a_Business_DTF,74.31,73.74,63.7,61.02,59.83,58.87,55.36,50.06,47.78,44.83,43.98,29.35,26.78,25.68
Rwanda,Resolving_Insolvency_DTF,47.85,47.82,41.77,41.5,3.39,3.45,3.47,3.46,3.46,3.47,3.44,3.41,3.36,3.42
Rwanda,Enforcing_Contracts_DTF,56.76,53.06,53.06,65.44,65.44,64.4,64.4,63.58,62.21,62.21,62.21,62.21,55.44,55.44
Rwanda,Trading_across_Borders_DTF,71.19,59.89,74.02,51.84,49.42,47.87,44.45,38.04,30.32,22.09,4.3,1.87,,
Rwanda,Paying_Taxes_DTF,79.69,81.93,80.96,80.76,83.93,83.09,78.64,78.03,76.91,76.44,74.5,74.5,,
Rwanda,Protecting_Minority_Investors_DTF,51.67,51.67,43.33,66.67,63.33,63.33,63.33,63.33,26.67,26.67,26.67,26.67,,
Rwanda,Getting_Credit_DTF,95,95,90,87.5,81.25,43.75,43.75,43.75,12.5,12.5,12.5,12.5,12.5,
Rwanda,Registering_Property_DTF,92.67,87.75,87.73,89.15,69.45,67.65,78.98,78.06,57.11,34.76,34.31,33.81,32.72,
Rwanda,Getting_Electricity_DTF,60.69,60.04,59.61,75.59,75.88,72.8,69.44,66.47,,,,,,
Rwanda,Dealing_with_Construction_Permits_DTF,55.4,66.25,65.62,54.47,62.87,61.42,59.72,54.31,47.78,36.98,31.79,31.79,,
Rwanda,Starting_a_Business_DTF,87.17,82.92,80.6,85.7,85.52,90.42,89.91,89.76,72.7,62.9,60.8,58.84,58.84,58.84
South Africa,Resolving_Insolvency_DTF,57.94,58.04,58.26,58.18,38.05,37.93,37.03,34.69,34.69,35.72,37.03,36.5,34.21,33.03
South Africa,Enforcing_Contracts_DTF,54.1,54.1,54.1,66.14,66.14,66.14,66.14,65.1,65.1,65.1,65.1,65.1,65.1,65.1
South Africa,Trading_across_Borders_DTF,58.01,58.01,58.01,71.18,70.42,60,58.22,57.08,56.73,60.05,59.27,58.58,,
South Africa,Paying_Taxes_DTF,81.09,81.29,88.81,88.9,86.78,86.96,87.2,87.3,85.74,75.58,74.77,74.52,,
South Africa,Protecting_Minority_Investors_DTF,70,70,70,80,80,80,80,80,80,80,80,80,,
South Africa,Getting_Credit_DTF,60,60,60,81.25,81.25,81.25,81.25,81.25,81.25,81.25,75,75,75,
South Africa,Registering_Property_DTF,59.03,60.37,60.76,66.18,66.69,67.31,60.1,60.48,60.2,60.06,59.86,55.15,54.82,
South Africa,Getting_Electricity_DTF,63.18,63.16,41.81,55.62,55.46,55.15,56.57,56.88,,,,,,
South Africa,Dealing_with_Construction_Permits_DTF,68.21,68.17,68.2,71.57,71.57,71.5,71.91,71.84,71.67,72.54,71.35,71.14,,
South Africa,Starting_a_Business_DTF,80.47,79.71,79.71,81.43,81.43,81.42,80.72,80.73,80.72,75.62,74.19,73.97,73.15,73.11
United States,Resolving_Insolvency_DTF,89.19,89.2,89.2,89.2,87.72,87.72,87.72,82.55,82.55,81.72,82.85,86.35,86.62,86.46
United States,Enforcing_Contracts_DTF,72.61,72.61,72.61,67.26,74.85,76.76,76.76,76.76,76.76,76.76,78.26,77.22,77.22,77.22
United States,Trading_across_Borders_DTF,92.01,92.01,92.01,88.34,88.5,88.5,88.4,88.34,88.64,88.83,88.6,88.34,,
United States,Paying_Taxes_DTF,83.85,83.89,80.84,80.85,79.33,78.69,78.65,79.44,79.26,72.49,71.8,72.6,,
United States,Protecting_Minority_Investors_DTF,64.67,64.67,64.67,82,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,,
United States,Getting_Credit_DTF,95,95,95,86.25,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,
United States,Registering_Property_DTF,76.8,76.85,76.85,82.85,82.23,88.1,88.88,88.9,88.9,88.89,88.89,88.88,88.87,
United States,Getting_Electricity_DTF,83.39,83.39,81.51,79.51,88.29,88.29,88.29,88.29,,,,,,
United States,Dealing_with_Construction_Permits_DTF,75.74,75.73,75.68,78.58,80.05,80.03,80.04,84.41,84.4,84.39,84.36,84.33,,
United States,Starting_a_Business_DTF,91.23,91.22,91.22,91.06,91.34,91.34,91.34,91.43,91.43,91.17,91.17,91.16,91.18,91.18
